0: 410,4507
109: 8818,7922,7617,7137,9708,4398,5281,4023,1420,4570
110: 3996,7614,9337,6210,5512,471,8099,5326
111: 7989,3476,5814
112: 5577,4582,9768,4527,9107
113: 8465
114: 1403,3955,6659,8005
115: 3938,7801,8042,7343,283,1525,4821,3631,6626
116: 5017,9529,6047,7754
117: 8699,5633,6972,9018,5420,5765,7435,4439,5024
118: 3778,1977,3156,5170,1959
119: 3034,3139,3546,7934,4531,9660,8596,9778,4637
120: 3181,4854
121: 5913,2940,4953,232
122: 2074,4495,746,894,9067,4787,2069,8043,1681
123: 9406
124: 7691,7844,7217,5583,3021
125: 4137
126: 1870,1071,6566,8057,1214,9454,879,2486
127: 9222,4979,1396
128: 1941,9144,6819,9934
129: 3698,8562,6233,7382,7254,4872,9643,7026,5004,9317
130: 987,9989,1626,3405,3458,4336,1331,2574,3930,2848
131: 1230,2565,43,6694,7382,9730,7700,4772,535
132: 4721,4633,7439,1167
133: 4335,9664,3242,6966
134: 8923,3684
135: 4353,2331,1170
136: 2719
137: 9750,9326,4729,7196,2038
138: 4983,6595,4461,8200,8848,8091,7173,1318
139: 654,7079,5281,9892,4103,424,1497,3751,9425,9620
140: 4416
141: 660,2871,7709,8503,7246,4558,2974,9591,7142,8057
142: 7701,5701
143: 5461,5261,1714,2635,5404,6745,8118
144: 6562,9013,602,7452,1443
145: 4136,5297,1900,6623,8432,18
146: 7570,6771,889,3074,8495,5928,8168,7243,846
147: 4376,8999,2147,4720
148: 7942,1990,473,9976,3921,2595,5092,9025
149: 9049
150: 1528,3682,1859,7561,1925,2523,8166
151: 8338,4480,6808,7906,7737
152: 7484,9032,2370,6285
153: 9821,8328,2237,1144
154: 6799,5569,8319,4378,42
155: 4892,9617,9502,8023,2435
156: 8825,7936,5655,5447,9043,8904,6181,7461
157: 3091,3913,9369,6275,3827,6731
158: 5214
159: 6247,6326,2493,8116,607,2069,8230,9670
160: 1645,7214,1634,8618,7487,252
161: 6718,2530,1226
162: 4343,5547,6513,1316,5384,8743,6227,5189
163: 8865,589,1122,3847,4709,3728,1481,7111
164: 1647,7270
165: 4907,475,754
166: 920,4807,5874,6142,7057,2386
167: 8703,6752,9273,2951
168: 2869,1294,9986
169: 3946,8154,9555,2345,3805,7556,4162
170: 4184,153,7623,4713,8956,2589,1211,7238
171: 9627,4902,6952,4098,7485,4950
172: 6303,7917,1748,3887
173: 9371,5882,9418,4848,4838,360,6485
174: 132,9273,804,9936,8139
175: 3771,9947,5773,3589,3116
176: 4107,2241,1592,646,5062,7223,547,9496,5978,2154
177: 4836,5353
178: 2878,3290,2166,8838,5995,8698,8222
179: 2696,4211,7895,4836,5550
180: 7674,1234
181: 3697,6512,9132
182: 1480,6465,229,4333,8792,2025
183: 6039,4296,9578,6243,6087,1776,3831,7725
184: 9199
185: 9996,3627,1036,7607,4952,6690
186: 2291,743
187: 4987
188: 1903,1593,3847,8808,2223,6368,7433,6079
189: 6867,9623,2532,6798,1623,8018,6687,4584,537
190: 3560,7265,7286,3869,5943,1628
191: 8921,5877,993,6524,4521,3110
192: 7451,1502
193: 9784,350,829,5465
194: 2064,9251,3363,1125
195: 3395,9608,3539,3818,5384,2418,9765,46,4543
196: 2130,8851,4107
197: 1802,423,2160
198: 5870
199: 9648,5305,259,2855
200: 859,2077,6898,8620,1863
201: 7803,7345
202: 8409,9727,1787,7406,8255,3630
203: 711,8544,4942,7505,511,997,7848,6581,6985,1769
204: 7268,1205,1324,5278,9967,2431,1077,2068
205: 9591,8985,5328,6241,9788
206: 4832,7434,8283,9920,7049,1625,1875,9034,3523
207: 7399,3744,6780,5554,7431,6533,6816
208: 5121,6993
209: 4177,6133,2501,7771,1100,1495
210: 1528,7076
211: 6106,2132
212: 983,9609,9202,9203,5401,2003,6731,5794,6930
213: 4713
214: 5120,5762,1698,9469,8314,3486,2536,7901,3675,1774
215: 9114,6023,1883,4565,9407,3706
216: 9191,9122,431,9978,4382,475,2956
217: 5063,5568,5752,100,2973
218: 9279,6567,1141
219: 503,1504,8692
220: 6164,6879,7433,5586
221: 6063,5106,5315
222: 9769,1392,862,2550,2580,816,1337,4459,7260,6948
223: 9947,7243,6786,4476,3532,8395,1865,5656
224: 1817,4641,9718,7973,8634,5054,745
225: 6476,9820,898,125
226: 4939,3461,2249,4187
227: 5376,1966,126,8150,7056
228: 2117,6230,8726
229: 8197,9155,5803,1181
230: 694,7148,308,7533,1276,5130,9434
231: 9395,6627,6844,4744,1888,6637,342
232: 2816,7539,5929,1444,7156,1735
233: 7139,9649,6561,8585
234: 6485,5084
235: 3631,5457,2755,1252,8364,1869
236: 8356,3177,5725,5753,2420,3872,1685,2400,4194
237: 2843,9870,2505,1235
238: 8096,7602,9237
239: 7355,9249,5296,5180,2474,7206,1119,7683,7246,4962
240: 9690,921,5767,8313,1216
241: 7566,7405,617,933,6042
242: 1258,1480,9734,8308,6300
243: 9509,9082,673,7369,9367,3085,5268,9913
244: 8215,2472,1014,7382,1696,5627,1382,8267
245: 642,4060,7173
246: 8587,8565,9992,2601,5963,6109,4635,6348
247: 5544,9796,858,5483,1080,5402,1549
248: 6334,4656,4129,9875,2464,5462,1336,9548,2318
249: 5083,6422,2113,9750,1389,5073
250: 6172,5382,2094,8625,1532,6938,8332,5929,299
251: 5061,2954,3510,5599,7968,3146
252: 2254,2539,1265,4847
253: 8318,8844
254: 619,5518,2148,9786,6173,2528,2659,2963,2713
255: 716,6732,5969,3892,7278,4669,7356,3834
256: 3919,5071,7685,3179,6027,9346,7219,7565,4617
257: 8240,8642,6860,2656,3272,9907,2268
258: 855,7874,6082,9086,1681
259: 2043,4671,1375,2627,4470,7362,8411,2415,7168
260: 3638,7392
261: 437,6798,873,6496,8225,6127
262: 6327,1338,6143,3679
263: 5222
264: 5494,2393
265: 628,4701,7741
266: 7686,7350,86
267: 312,4194
268: 2450,8992,9976,8648
269: 1822,4721,3894,4935,1997,783,3907
270: 7490,1030,1817,8190,9777,8783,269
271: 9422,3964,2353,4773,7033,25,5781,3942,9350
272: 3069,1403,8577,5909,1109,8619,8915
273: 8317,9080,334,6398,7703,714,6339,6117,4156
274: 5851
275: 5650,3951
276: 9534,5448
277: 727,5773,8946
278: 2869,7613,7841,2987,2210,1034
279: 606,4808,3303,718,3269,687,5171,5081
280: 6525,8898,7757,4151,600,3132,4688,5849,784
281: 4477,2040,6030,7160,6554,7205
282: 5555,3061,8130,8152,6019,8508,4370
283: 6956,1294
284: 9871,2957,8938,4814,5263,1681,1312
285: 4844,5022,7306,9874,6982,2731
286: 5760,7326,694,5777,7127,4499,940,1230
287: 5953,8407,2622,511,2340,9955,7180
288: 2069
289: 3867,6002
290: 6273,9294,531,9914,2514,7372
291: 6096,7274,1260,9404,2256,8675
292: 6522,5151,4567,4090,1859,425
293: 8177,8483,6341
294: 1930,4289,4265,7312,3516,4679,8048,3280,2010
295: 1214,7407,2829
296: 1439,5237,5693,1064,9012,8883,4758,4915
297: 2853,5923,8336
298: 1989,3293,2276,3879
299: 431,5913,9078,9377,6045,7658,9039,2127
300: 1413,1078,5068,6524,7843,8613,6731,6709,9420,1209
301: 5195,1216,7373
302: 8477,5645,2103,9033,9631,2982,2115,7089
303: 908,2035,8489,2508,4983,2698,2654,5287,3695
304: 8502,4654,1293,4106,3217,9025
305: 2051,4962,8741,1531,8235
306: 9697,9514,2527
307: 9915,5532,9235
308: 465
309: 745,9450
310: 3454,9374,6826,497,8160
311: 4746,4950,7913,4013,6654,4874,7431,1196,982
312: 7203,6810,7934
313: 3343,5574,9940,2354,5122,5232,5659,6533
314: 6071,8438,9203
315: 5229,3961
316: 2008,4383,7367,4062,2309,1587,830,4755
317: 6851,4068,2617,5365,9465,5124,3111
318: 8164,8434,7649
319: 5056,8149,380,1476,6443,8282,7492,3945
320: 9558,5782,798,829
321: 8109,9790,7711,4682,8794
322: 1762
323: 2195,4334,5993,6607,5996,742,6564
324: 9344
325: 3190,5940,9065,4729,1205,6330,8262,7379,9009
326: 1947,2109,1585,6454,6115
327: 9140,5991,2364,3262,9871,8342
328: 8194,660,743,638,2246,5457,7762
329: 7488,2441,9933,8447,2291,5374,5219,2663,6439
330: 4903,9728,5512,8312,8352,8722,8026,9223,4912,7781
331: 6036
332: 1796,6825,9564,5041,437,9780
333: 4351,9478,9464,3729,842,9561,7872,2794
334: 6230,2422,3969,518,9381,1801,3126,310,7226
335: 6862,2482,6766,3341,6724,8222
336: 7727,1021,2263,8499,3398,9190,5326,7838,8610,6174
337: 2838,7532,8735,5609,8951,5805
338: 9996,7933,3151,4039,4572
339: 4891,3685,4877,4736,3397,8012,5195,7862,5715
340: 4481,4716,1997,9396,8900,6221,6465,5655,2400
341: 690,4713,1295,5675,7248
342: 7850,3506,3311,8825,4443
343: 4451,2250,1790,9615,3921,3973,832,8701,3698
344: 861,1642,6772,5412
345: 1648,2253,84,9017,2588,6667,7794,7823
346: 4707,5263,4677,970
347: 9407,3805
348: 612,2869,6847,2881,596,6505,8117,3053,4743
349: 151
350: 9306,9876,1759,5490,4663
351: 8902,8591,8093,2199,8262,7669,4471,3160
352: 5418,2663
353: 4216,3051,230,5524,4834,9303,3165,2876
354: 6644,7008,8443,5373,1422,6568,1563,3028,2304,7823
355: 4065,111,4273,6285,3859,7320
356: 5401,4948,9544,9387,187
357: 5891,3872,1018,1937,7626
358: 2617,6643,8234,5096,1924
359: 6022,3619,3591,2189,7835
360: 7455,9925,6122
361: 8999,7715,8807,3579,4055,9762,1342
362: 7320,8654,5928,1280,9244,1839,1012,8973,8282
363: 9384,8793,2456,2696
364: 8526,7240,1905,3366,9555,8009
365: 8362,7299
366: 7430
367: 8410,6807,7485
368: 946,9156,7576,5050,356,6488,4170,49,3571,9476
369: 743,6942
370: 1045,8867,988,1131,7735,520
371: 6699,2949,2219,6888,6136
372: 7349,6185,6155,1315,8836,2179,5698
373: 2925,8803
374: 8665,2087,3649,56,372,4889,7586
375: 6949,8716,6215,3763,4056,7547,5672,2542,4517
376: 1849,528,6869,256
377: 3377,1103,1654,9732
378: 7315
379: 798,4010,725,6591,7192,3840,8844,3560,925,2296
380: 4740,3837,9439,5225,9462,9797,5254,3882,4945
381: 8541,3622,6776
382: 4509,999,9122,9694,2870
383: 9108,8121,769,5643,6245,8593,5223
384: 6689,2445,4914,6168,3013,8814,7759
385: 3693,4928,2366,7587
386: 9215
387: 6825,9131,8684,2197,6364,3979,4178
388: 5412,1296,7370,6080
389: 8776,3121
390: 4399
391: 9912,9879,648,1193,3083,9627,9157
392: 7855,3423,5456,4968
393: 3471
394: 1923,7847,3975,9903
395: 6499,3922,9046,5270
396: 6237,7640,8744,5887,5054
397: 5893,8402,8148,7636,1616
398: 5247,3329,6074,5127,6782,750,9217,3626
399: 265,4273,9066
400: 9489,6842,4837,2498,3215,5405,3769,6224,9336,4027
401: 9022,5531,4217,8006,8038,7551,2757,5771
402: 2294,8955,8001
403: 8883,963,8585
404: 1218
405: 104
406: 2253,3792,1114,2475,149,3584,8286
407: 6115,991,7917,7994,257,108,8720,9039
408: 194,274,8674,4502,8778,4698,280
409: 7055,2938,1754,1579,8592,2440,3949,3145,8626
410: 5808,4380,6503,1295,6113
411: 7521,9257,3985,3701,4915,1321,520
412: 6641,6214
413: 9056,7799,920,154,2808,1355,8190
414: 5428,9271,1563,8654,698,3765,3464
415: 7791,4442,763,1219,4594,8898,9233,540,2939,5153
416: 3395
417: 2363,6526,1261,4904,2662,9240,3940,9285,6376,8857
418: 6289,2293,1285,8205,5667,880
419: 7162,3804
420: 5581,9916
421: 9759,6500,5348,486,4479,7382,8039,3738,5830,9061
422: 7076,3044,9599,6228,1405,4840,4038
423: 1345,4391
424: 6226,2528,6384
425: 5910,1746,1500,85,5051,7287
426: 4420,1675,2171,1431,3071,7062
427: 9126,9089,8396,6686,1693,431,1469,5799
428: 1525,9781,9799,5316,6312,202,4782,6780,6354
429: 9168,3978
430: 8538,2779,6238,2778,2275,4406,4934,4398,8080,2391
431: 2740,7122
432: 6900,4912,7934,1261,5917
433: 4041,8124,9729,3204,7502
434: 2220,4992
435: 6484
436: 6225,5400,7213,5485,7056,9739
437: 4923,5254,9884
438: 7849,5148,2911,6525
439: 4776,8045,9436,3972,5340,6162
440: 6438,5981,1866,9239,3274
441: 8940,2948,9013,440,7564,3435,7184,4774,1134,6704
442: 2281,4962,3966,4140,2526,6933,6177,1212
443: 9797,7852,9540,6567,8756,8301,6854,8908
444: 5891
445: 9730,1393,1792,4068,5817,2726,726,9228,6548
446: 7053,1736,172,1616,4240,3638
447: 8500,9143,9512,9425,3622,7304,6130,6409,7587
448: 8200,2470,5652,402,7910,1713,4841,6816,1407,1902
449: 5708,5111,5621
450: 3390,8538,7913,5707,7802,1600,7179,7413
451: 1101,4920,733,1886,370,5621
452: 2693,3997
453: 2859,9043,2624,5423,9173,6986,7571,3799,6637
454: 3054,7081,6482
455: 3233
456: 9703,7038,6371,72,3520,3372,4561,1026
457: 1668,8797,3064,5994,5341,3229,7497,1868,4299,8020
458: 5135,9781,6368,6432,9618,1872,5701,5767,7502
459: 2827,4874,9670,1389,2195,5132,1932,3909,5004,1917
460: 6117,2317,8370
461: 6853,9772,2259,9418,6287,6932,3044
462: 8805,2839,9092,2734,8023,4733,2299,3066
463: 7390,879,5883,157,7940,2237
464: 6291,9201,8282,8110
465: 8057,6810,7273,8007,2741,1355,9264
466: 3614
467: 536,4504,3684,8809,4730
468: 7493,9268,8116
469: 8370,1855,9384,1872,4390,8899,6011,8881,682
470: 8952,3581,6966,1678,4056,4878,529,7369
471: 5712,1426,7194,1924,3883
472: 9633,5745,9999,7016
473: 2282,3386,3391
474: 9341
475: 8721,4606,9779,8828,2759,5303
476: 4741,9384,4381,8429,1561
477: 6744,972,4544
478: 2175,4091,2397
479: 4056,6435,8020,2330,9461,4403
480: 6147,7406,1238,1526,6601,8448,4559
481: 7450,7997,5363,9535,40,1527
482: 5870,1038,8757,6517,3569,7040,3471,8106
483: 5290,4647,5534,8968,9469
484: 9276,7952,5632
485: 753
486: 7530,266
487: 2589,7231
488: 11,7010,3315,2162,4946,2605,4490,1530
489: 4103,1351,6093,2712,849,6494
490: 3837,7033,1495,1560,17
491: 7813,1277,2175,9727
492: 8511,7292,152,132
493: 1976,6920,2166,7827,1161,3752
494: 1464,1679,1691,5134,6023,4903,2247
495: 2182,2341,1121,8692,9229,138,2689
496: 5754,3491,2481,6746,7249,3560,1421,1647
497: 2018,9660,6292
498: 7036,5153,2291,4060,4538,1381
499: 9067,9847,9831,9955
500: 439,4943,3367,8483,9944
501: 3091,6419,4843,895,3922,8109,6323,1848,3950
502: 9731,1164,8656,197,5917,5186,2163,6338
503: 6896,5987,8952,2831,7718,1196,273,9624,1107,225
504: 3535,653,991,6521,8301
505: 8210,6807,6940,6591,1351
506: 8809,2502,4547,1370,5078,1295,8378,3330,2546
507: 5354,6402,9609,1084,5082,7168,3910,949,4006
508: 7119,1901
509: 9976,902,5068,2878,1957,207,2249,185
510: 8134,5681,8569
511: 4248,2736,6093,2080,4404,1935,480,5489,7035
512: 8583,1047,4309,9448,1263
513: 7458,8369,5901,909,8186,9288,2735,6025
514: 4180,1686,9403
515: 3743,8337
516: 722
517: 4007
518: 7730
519: 6275,2459,2933,580,9059,6871
520: 5273,4068,6820,5242
521: 1277,9365,6109,1957,8226
522: 2939
523: 8451,753,6569,1130
524: 4626,5091,5363,1416,9062,7484,130,6045
525: 4778,9238,4980,3975
526: 6034,9695,8084,3202,8955,4017,2467,104
527: 391,3818,8873,5676,157,5489,23
528: 5039,1704,3362,8681,3903,6879,8062
529: 2333
530: 1525,720,3793,8516,6768
531: 7512,1392,9516,1566,8281,2188
532: 1227,9698,9304,1021,7127,2142,3880
533: 4277,5162,6439,5346,5212
534: 4456,3828,1224,3322,2231,9580,1786,2547
535: 2694,7366
536: 5146,6661,1979,8781,5871,3402,7405,5052
537: 4342,1965,1482,2583,4985,9885,661,3523
538: 2431,1495,4067,5829,6493,8413
539: 4897
540: 2849,509,6626,7409,9109
541: 4094,1552,7571,1670,2291,1990,195,1011,3642
542: 3247,6564,6099
543: 9541,9603
544: 1229,357,1057,3240,7266
545: 1507,5433,2008
546: 7553
547: 2753
548: 7097,6472,8129,483,6271,6991,2832,5800,3518,3067
549: 4586,7308,2436,568,4027
550: 8174,6751,9023,7849,1000
551: 4584,6276
552: 6869,3268,8615
553: 8908,319,6267,5884
554: 8922,7941,5637,9268,8232,5270,6364,4431
555: 427,5225,9784
556: 480,4603,960,7729
557: 5857,9569,3814,2616,1641,4061,3952,4367,8744
558: 3595
559: 6364,5814,2847,2886,3876,9708,5211,5879,9693,462
560: 9301,9235,2329,9226,3085,8065
561: 5064,2877,8036,622,1479,921,3812,9858,3585
562: 8626
563: 11,5436,3301,2138,5583,2908,5302,976
564: 2421
565: 2321,1818,8623,5979,1189,6121,6482,9602,1656,5515
566: 5286,2236,2581,7158,7983
567: 2855,9208,5847,3658,9650,2873
568: 5027,4826,2087,2912,29,9386,6416
569: 530,2984,9870,5214,3620,9266,1706,8130,2305,5426
570: 3900,5683
571: 2751,1454,5501,7318,186,4346
572: 4089,1111,5743,4206
573: 20,789
574: 7180,6876,2726,6784,8079,6205,5755
575: 6150,1662,7856,9471,3696,2665,7394,1208,547
576: 328,5222,4279,1716,1216
577: 2788,6152,2637,1229,8963,1526
578: 9733,7910,507,7067,2704,9951
579: 2574,878,1660,5425,3368,3113,6706
580: 8850,4347,4613,4873,3892,1572,814,6438,9368
581: 8044,2517,894,5912,62,7006,1436,4826,9834
582: 3272,1590,421,3391,2799,4782,1343,7759
583: 5053,6513
584: 8014,4342,1494,8915,6350,3030,6079,6250
585: 3057,7304,732,4314,7205,7620
586: 3707,4401,9245,1010,2477
587: 1405,5633
588: 6783,9663,3728,9071,1000,6343,8562,6859,8774
589: 9384,3861,7804,4897,1294,6469,568,8227
590: 8468,9364,2416,1971,7358,2833,2739,3472,3158,2068
591: 6937
592: 7134,3309
593: 9750,4226,5239
594: 1426,6359
595: 6511,9045,5344,4526,8515,7507,202,9627,8562
596: 1844,6791,2452,2429,9284,9633,9547
597: 1731,9220
598: 4688,8776
599: 6733,4328,6276,7956,9373,9978
600: 614,2822,4513,6603,2357,9973,6582,636
601: 5432,3893,808,7786,4401,6103,331
602: 4966,5095,4594,8055,1610,3735
603: 4924,7260,5258
604: 6829,9912,1463,3080,7238
605: 6672,7938,8463,6127
606: 8443
607: 1076,5098,8304
608: 2223,8590,9318,474,2847,3159,3289
609: 4088
610: 7479
611: 5905
612: 4489,6036,7606,8276
613: 2030,500,3964,6103,8009,9733,7309
614: 7776,9616,9034
615: 5641,2680,4238,1481,4671,449
616: 814,2670,9376,3512,3627,3689,3388
617: 6710,8410,328,145,7768
618: 2838,9850,138
619: 4136,9968,5005,4512
620: 6169,5714,7521,4129,3576,7647,4951
621: 6507,9577,1677,120,8381,6132,9199,9729,9979
622: 4891,1772,7893,1046,5510
623: 5328,4537,4279,4896,3087
624: 8476,3938,931
625: 6621,5237,2293,417,8149,4844,4251,6858,6629,6362
626: 9553
627: 3112,5623,3644,8760,7795,5874,8312,4919,2786,9147
628: 4814,1600,7714
629: 4238,9160,3000
630: 1464,3642,5821,3660,5032,6890
631: 6090,4270,9594,4818,7599,1930
632: 880,9562,9508,1167,7737,3188,8200,1964
633: 8681,4889,6769,886,2471,2251,3282
634: 6705,9330,7497,2347,5184,2955
635: 7989,5450
636: 5135,951,77
637: 4482,3431,2763,9442,2596,8022,1443,2121
638: 7106,7036,6610,7030,7822,6281,76,618,8746,3268
639: 230,5280,8701,3123,293,67
640: 3708,5642,5114,2113
641: 6285,8247
642: 5016,2737,1070,750,4886,4765,7470,8525,9771,8588
643: 7106,2193,5616,8032,5886,3088
644: 6610,313,3743
645: 2150,3461,359,9662
646: 2769,2018,6007,612,6148,4191,8762,797,9731
647: 1772
648: 791
649: 6829,7280
650: 2025,8967,4141,7773,2509,3367,152
651: 6896,1655,8525,4424,9923
652: 6863,1719,8382
653: 1929,4632,1868,1742,8155,3255,9978,3273,4309,8572
654: 5865,6714,4840,2628
655: 8981
656: 3403,7876,5417,3843,44,208,1459,1810
657: 8096,2444,1476,8384,1230,1660,4193,3788,7484,4851
658: 7607,821,1636,2863,646
659: 5902,5124,6980,1899,1557
660: 158
661: 2794,5385,5858
662: 4396,1523,6106,5616,2997,1866,6567,6558
663: 4454,6320,7836,6910,2733,1853,2172,961
664: 1700,6817,9679
665: 9322,7179,2970,6222,5876,472,2141,7915
666: 1851,6739,7221,754,1038,4287,5149,202
667: 9448,9258,3670,5543,8505,8571,1561,7092,4073
668: 5665,6306,2436,9148,895,190,2572,8284
669: 8124,2710,1227,8056,5254,3947,5422,4558
670: 8306
671: 9020,6204,6608,3851
672: 7522,7278
673: 7342,1443,8167,7325,5179,1945,8149,291,1682,6610
674: 587,9129,8997,2,1490,9900,4991
675: 9214,3390,7475,5585,5954,890,3653,7446,5440
676: 9830,7752,5953,7415,1869,1597,3634,35,5593
677: 4784,8974,8553,6126,1742,751
678: 8068,2302,6705
679: 4167,3210
680: 1979,6438,3533,7489
681: 5537,1766,6791,762
682: 2019,7382,7494,9656,8261,2206,8173,71,8690,796
683: 7092,9587,7913,8329,2904,9480,2846,2104,1697
684: 9840,9932,5274,8260,6303,6860,9978
685: 4483,6519,5618,4820
686: 2186,2264,6763,9872,8394,4898,8976,5144
687: 3561,3292,3436,4761,5658,2174,2914,8256,8889
688: 1891,5772,9213,7871,9549,9350
689: 8748,4685,6921,209,8565,1745,414
690: 2382,870,928,3276,4375,2637,4696
691: 2400,1017,4836,3343,8867
692: 5877
693: 1680,9206,3676,9196,6372,3893,8371,4713
694: 6252
695: 6826,5123,9047,882,212,4118,3328
696: 7260,3696,6026,9641,8956,9886,3219,3171,4820,7354
697: 1221,3064,2848
698: 1956,6181,665,7021,4573,9120,4330,2132,2637
699: 4179,92,5416,7641,2537,654,2519,5286,9780,834
700: 4935,8038,9383,9014,5867,1195,5208,8609,3604,3013
701: 1118,8277,2612,6815,8898,8799,6610,1507,5725
702: 3496,5438,5425,5912
703: 3580,8692,7781,9197,144
704: 5669,7302
705: 3995,653,5259,6249
706: 6323,4204
707: 4634,404,8469,6144,8427,8336,7301,7976,719
708: 3155,5249,8420,1350,1573
709: 8815,8737,120
710: 3454,3493
711: 1703,3369,8811,7131,1182,2520,389
712: 5435,620,1434,1201,890,2917,4128,9144
713: 9421,3730
714: 6679,6358,7392,6627,7095
715: 276,6382,1939,8763,96,1037
716: 746,1190,5861,8239,1739,4749,4938,9938,1418,4613
717: 6250,6474,504,7766,2562,8741,3603,2235
718: 8942,4833,2361,4884,6114,182,9069
719: 2317,2020,684,82,9384,9776,6457,8801,8971
720: 4993,3442
721: 3470,6761,8398,2334,2638,3015
722: 4141,3184,1878,2972
723: 892,8993,7558,9006,1199,4763,1104,4108,1609,3235
724: 7983,5421,5852,2101,3843,1640,4672,1144,3171,5207
725: 7384,5380,5009,9572,2497,9267,9288,5972
726: 7018,2763,79,5132,4034,3630
727: 4534,5890,2201,5433,7864,7584,7297
728: 5005,7979,9039,1784,2880,9939
729: 4598,2294
730: 3219,4313,1253,1236,305,8310,511,9534,9485
731: 9668,3486,600,9038,4270,8905,8843
732: 2436,5994,6431,3659,9661,4768,2194,7614
733: 8363,1484,6501,5962,8228,173,3914,2718,8424
734: 7311,2609,2936
735: 9271,2396,7922,5879,662,3586,7990,3797,1030,4332
736: 3835,701,3388,8486,5919,6359
737: 7449,761,653,5310,1692,8543,4481,4315
738: 8919,9342,2849,6172,6202,5986,9629,1276,8466,4122
739: 3652,8461,6650,5782,5654,7977,7899
740: 108,8223,2277,7208,2714,3769,1264,8431,4601,3466
741: 3063,2579,5935
